dataset_id,dd_id,deployment
546765,547787,Ruzicka_2015
559066,559071,NBP1302
561504,561512,AT26-15
561504,561514,AT21-02
561504,561515,CH0912
561504,561516,PE14-11
561504,663845,WS15271
561504,669123,OC471-02
561504,669192,AT29-04
628208,628216,JRES-336
679426,679435,LMG1312
685216,685217,DEEPC_ROV_dives
685216,685284,MBARI_DEEPC_Cruises
685287,685293,DEEPC_ROV_dives
685287,685294,MBARI_DEEPC_Cruises
685499,685505,Strytan_SCUBA_2012
685511,685517,Strytan_SCUBA_2012
738694,738701,Belize_2010
751566,751615,SLI13-1
862731,862737,OC1703A
