dd_id,deployment
450300,NBP0103
450301,NBP0104
450302,NBP0202
450303,NBP0204
450304,NBP0103
450305,NBP0104
450306,NBP0202
450307,NBP0204
450308,NBP0103
450309,NBP0104
450310,NBP0202
450311,NBP0204
450312,NBP0103
450313,NBP0104
450314,NBP0103
450315,NBP0104
450316,NBP0202
450317,NBP0204
450318,LMG0203
450319,NBP0104
450320,LMG0203
450321,NBP0204
450322,NBP0103
450323,NBP0104
450324,NBP0202
450325,NBP0204
450326,NBP0103
450327,NBP0104
450328,NBP0202
450329,NBP0204
450330,LMG0201A
450331,LMG0203
450332,LMG0205
450333,LMG0302
450334,LMG0104
450335,LMG0203
450336,NBP0103
450337,NBP0104
450338,NBP0202
450339,NBP0204
450340,NBP0103
450341,NBP0104
450342,NBP0202
450343,NBP0204
450344,NBP0103
450345,NBP0104
450346,NBP0202
450347,NBP0204
450348,NBP0103
450349,NBP0103
450350,NBP0104
450351,NBP0202
450352,NBP0204
450353,LMG0106
450354,LMG0205
450355,NBP0104
450356,NBP0204
450357,LMG0104
450358,LMG0106
450359,LMG0203
450360,LMG0205
450361,LMG0104
450362,LMG0106
450363,LMG0203
450364,LMG0205
450365,NBP0204
450366,LMG0103
450367,NBP0103
450368,NBP0104
450369,NBP0104
450370,LMG0104
450371,LMG0203
450372,NBP0103
450373,NBP0104
450374,NBP0202
450375,NBP0204
450376,LMG0104
450377,LMG0106
450378,LMG0203
450379,NBP0103
450380,NBP0104
450381,NBP0202
450382,NBP0204
450383,LMG0203
450384,NBP0104
450385,NBP0204
450386,NBP0103
450387,NBP0104
450388,CY98-079
450389,HUD9877
450390,PAR93-032
450391,PAR94-018
450392,PAR95-010
450393,PAR95-034
450394,PAR96-024
450395,PAR97-025
450396,PAR98-078
450397,PAR99-028
450398,AL9404
450399,OC333
450400,SJ9506
450401,SJ9508
450402,AL9403II
450403,AL9508
450404,AL9605
450405,AL9701
450406,AL9707
450407,AL9801
450408,AL9806
450409,AL9808
450410,AL9901
450411,AL9906
450412,EN261
450413,EN263
450414,EN265
450415,EN268
450416,EN276
450417,EN278
450418,EN282
450419,EN320
450420,EN325
450421,OC300
450422,OC302
450423,OC319
450424,OC336
450425,OC341
450426,SJ9503
450427,SJ9505
450428,SJ9507
450429,RHB0603
450430,RHB0603
450431,RHB0603
450432,RHB0603
450433,KH67-5
450434,NBP0103
450435,NBP0104
450436,NBP0202
450437,NBP0204
450438,NBP0103
450439,SJ9506
450440,SJ9508
450441,W0005A
450442,W0008
450443,NH0005
450444,NH0005
450445,NH0007
450446,NH0007
450447,LMG0103
450448,LMG0201A
450449,NBP0202
450450,W0103B
450451,W0107A
450452,W0109A
450453,W0111B
450454,W0202A
450455,W0204A
450456,W0207A
450457,AT7-21
450458,W0212A
450459,W0302A
450460,W0304A
450461,NH0307A
450462,W0309B
450463,NOAA-11-GB
450464,NOAA-11-GB
450465,NOAA-9-GB
450466,NOAA-14-GB
450467,NOAA-9-GB
450468,NOAA-14-GB
450469,NOAA-14-GB
450470,NOAA-14-GB
450471,NOAA-14-GB
450472,NOAA-15-GB
450473,NOAA-14-GB
450474,NOAA-15-GB
450475,NOAA-16-GB
450476,NOAA-14-GB
450477,NOAA-15-GB
450478,NOAA-16-GB
450479,NOAA-15-GB
450480,NOAA-16-GB
450481,NOAA-14-GB
450482,NOAA-17-GB
450483,NOAA-16-GB
450484,NOAA-17-GB
450485,NOAA-14-GB
450486,NOAA-14-GB
450487,NOAA-14-GB
450488,NOAA-15-GB
450489,NOAA-11-GB
450490,NOAA-11-GB
450491,NOAA-9-GB
450492,NOAA-9-GB
450493,NOAA-14-GB
450494,NOAA-14-GB
450495,NOAA-14-GB
450496,NOAA-14-GB
450497,EN267I
450498,EN267II
450499,Crest
450500,Dismal_Island
450501,Kirkwood_Island
450502,ST1
450503,NTLS
450504,Buoy44005
450505,Buoy44003
450506,Buoy44008
450507,Buoy440011
450508,Buoy440018
450509,LMG0104
450510,LMG0203
450511,LMG0104
450512,LMG0104
450513,LMG0203
450514,LMG0203
450515,NBP0104
450516,NBP0104
450517,NBP0204
450518,NBP0204
450519,NBP0204
450520,NOAA-12-NEP
450521,NBP0103
450522,NBP0104
450523,NBP0202
450524,NE_Peak
450525,Crest
450526,Crest
450527,Crest
450528,Crest
450529,Crest
450530,NE_Peak
450531,NE_Peak
450532,NE_Peak
450533,NE_Peak
450534,NE_Peak
450535,NE_Peak
450536,NE_Peak
450537,NE_Peak
450538,NE_Peak
450539,NE_Peak
450540,NE_Peak
450541,CI9405
450542,EN246
450543,EN256
450544,SJ9504
450545,EN274
450546,AL9513
450547,OC276
450548,EN288
450549,OC291
450550,OC331
450551,OC344
450552,OC346
450553,TT043
450554,TT043
450555,TT043
450556,TT043
450557,TT043
450558,TT043
450559,TT043
450560,TT043
450561,TT043
450562,TT043
450563,TT043
450564,TT043
450565,TT043
450566,TT043
450567,TT043
450568,TT043
450569,TT043
450570,TT043
450571,TT043
450572,TT043
450573,TT043
450574,TT043
450575,TT043
450576,TT043
450577,TT043
450578,TT043
450579,TT043
450580,TT043
450581,TT043
450582,TT043
450583,TT043
450584,TT043
450585,TT045
450586,TT045
450587,TT045
450588,TT045
450589,TT045
450590,TT045
450591,TT045
450592,TT045
450593,TT045
450594,TT045
450595,TT045
450596,TT045
450597,TT045
450598,TT045
450599,TT045
450600,TT045
450601,TT045
450602,TT045
450603,TT045
450604,TT045
450605,TT045
450606,TT045
450607,TT045
450608,TT045
450609,TT045
450610,TT045
450611,TT045
450612,TT045
450613,TT045
450614,TT045
450615,TT045
450616,TT045
450617,TT045
450618,TT045
450619,TT045
450620,TT049
450621,TT049
450622,TT049
450623,TT049
450624,TT049
450625,TT049
450626,TT049
450627,TT049
450628,TT049
450629,TT049
450630,TT049
450631,TT049
450632,TT049
450633,TT049
450634,TT049
450635,TT049
450636,TT049
450637,TT049
450638,TT049
450639,TT049
450640,TT049
450641,TT049
450642,TT049
450643,TT049
450644,TT050
450645,TT050
450646,TT050
450647,TT050
450648,TT050
450649,TT050
450650,TT050
450651,TT050
450652,TT050
450653,TT050
450654,TT050
450655,TT050
450656,TT050
450657,TT050
450658,TT050
450659,TT050
450660,TT050
450661,TT050
450662,TT050
450663,TT050
450664,TT050
450665,TT050
450666,TT050
450667,TT053
450668,TT053
450669,TT053
450670,TT053
450671,TT053
450672,TT053
450673,TT053
450674,TT053
450675,TT053
450676,TT053
450677,TT053
450678,TT053
450679,TT053
450680,TT053
450681,TT053
450682,TT053
450683,TT053
450684,TT053
450685,TT053
450686,TT053
450687,TT053
450688,TT053
450689,TT053
450690,TT053
450691,TT054
450692,TT054
450693,TT054
450694,TT054
450695,TT054
450696,TT054
450697,TT054
450698,TT054
450699,TT054
450700,TT054
450701,TT054
450702,TT054
450703,TT054
450704,TT054
450705,TT054
450706,TT054
450707,TT054
450708,TT054
450709,TT054
450710,TT054
450711,TT054
450712,EN198
450713,EN198
450714,EN198
450715,EN198
450716,EN198
450717,EN198
450718,EN198
450719,EN198
450720,EN198
450721,AII-119-4
450722,AII-119-5
450723,AII-119-4
450724,AII-119-4
450725,AII-119-5
450726,AII-119-5
450727,AII-119-5
450728,AII-119-4
450729,AII-119-5
450730,AII-119-4
450731,TT041
450732,NASA_P-3B
450733,TT043
450734,TT044
450735,TT045
450736,TT048
450737,TT049
450738,TT050
450739,TT053
450740,TT054
450741,TT043
450742,TT044
450743,TT045
450744,TT048
450745,TT049
450746,TT050
450747,TT051
450748,TT053
450749,TT054
450750,TT043
450751,TT045
450752,TT049
450753,TT050
450754,TT053
450755,TT054
450756,Aircraft_P3_NABE
450757,TT041
450758,TT047
450759,TT043
450760,TT045
450761,TT049
450762,TT050
450763,TT053
450764,TT054
450765,NABE_N34
450766,NABE_N48
450767,AII-119-4
450768,AII-119-5
450769,AII-119-4
450770,AII-119-4
450771,AII-119-4
450772,AII-119-4
450773,AII-119-5
450774,AII-119-4
450775,AII-119-5
450776,AII-119-4
450777,AII-119-4
450778,AII-119-5
450779,AII-119-5
450780,AII-119-5
450781,AII-119-5
450782,AII-119-4
450783,AII-119-4
450784,AII-119-5
450785,AII-119-5
450786,AII-119-5
450787,AII-119-5
450788,AII-119-5
450789,AII-119-4
450790,EqPac-Array
450791,EqPac-Array
450792,EqPac-Array
450793,EqPac-EPOCS-5
450794,EqPac-EPOCS-5
450795,EqPac-EPOCS-5
450796,EqPac-EPOCS-7
450797,EqPac-EPOCS-7
450798,EqPac-EPOCS-7
450799,EqPac-EPOCS-7
450800,EqPac-Array
450801,EqPac-Array
450802,EqPac-Array
450803,EqPac-Array
450804,EqPac-Array
450805,EqPac-Array
450806,Aircraft_P3_NABE
450807,TT007
450808,TT007
450809,TT007
450810,TT007
450811,TT007
450812,TT007
450813,TT007
450814,TT007
450815,TT007
450816,TT007
450817,TT007
450818,TT007
450819,TT007
450820,TT007
450821,TT007
450822,TT007
450823,TT007
450824,TT007
450825,TT007
450826,TT007
450827,TT007
450828,TT007
450829,TT007
450830,TT007
450831,TT007
450832,TT007
450833,TT007
450834,TT007
450835,TT007
450836,TT007
450837,TT007
450838,TT007
450839,TT007
450840,TT007
450841,TT007
450842,TT007
450843,TT007
450844,TT007
450845,TT007
450846,TT007
450847,TT007
450848,TT007
450849,TT007
450850,TT007
450851,TT007
450852,TT007
450853,TT007
450854,TT007
450855,TT007
450856,TT007
450857,TT008
450858,TT008
450859,TT008
450860,TT008
450861,TT008
450862,TT008
450863,TT008
450864,TT008
450865,TT008
450866,TT008
450867,TT008
450868,TT008
450869,TT008
450870,TT008
450871,TT008
450872,TT008
450873,TT008
450874,TT008
450875,TT008
450876,TT008
450877,TT008
450878,TT008
450879,TT008
450880,TT008
450881,TT008
450882,TT008
450883,TT008
450884,TT008
450885,TT008
450886,TT008
450887,TT011
450888,TT011
450889,TT011
450890,TT011
450891,TT011
450892,TT011
450893,TT011
450894,TT011
450895,TT011
450896,TT011
450897,TT011
450898,TT011
450899,TT011
450900,TT011
450901,TT011
450902,TT011
450903,TT011
450904,TT011
450905,TT011
450906,TT011
450907,TT011
